epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.442,1.49649,2.34896,1.86493,0.59094,0.48366,0.50146,0.19886,1.99986,1.86094,2.48001,0.00332695,0.00332695,0.00332695
2,206,1.47605,1.86806,1.83968,0.46017,0.43267,0.39505,0.1319,2.19047,2.06521,2.68589,0.00659434,0.00659434,0.00659434
3,302.12,1.58968,2.05083,1.9455,0.36095,0.31436,0.25731,0.09347,2.34143,2.8556,2.89626,0.00979574,0.00979574,0.00979574
4,397.92,1.65436,2.17984,2.00217,0.37233,0.37772,0.27855,0.09041,2.19185,2.67984,2.74991,0.009703,0.009703,0.009703
5,493.79,1.5977,2.1355,1.95779,0.3673,0.32921,0.2747,0.09048,2.30307,2.39457,2.69109,0.009604,0.009604,0.009604
6,589.207,1.56443,2.07924,1.92051,0.51004,0.41782,0.39416,0.14342,2.07482,2.25718,2.72226,0.009505,0.009505,0.009505
7,684.699,1.52482,2.05436,1.9001,0.5312,0.44802,0.41632,0.15174,2.07247,2.11101,2.53745,0.009406,0.009406,0.009406
8,780.454,1.48696,2.02863,1.87502,0.50619,0.45396,0.42478,0.16415,2.00378,2.10269,2.54465,0.009307,0.009307,0.009307
9,875.953,1.47858,1.97882,1.86297,0.52667,0.49521,0.46032,0.1822,1.87025,2.00369,2.43193,0.009208,0.009208,0.009208
10,971.606,1.44827,1.94357,1.84026,0.52284,0.50396,0.49963,0.19487,1.94738,1.89137,2.4004,0.009109,0.009109,0.009109
11,1067.28,1.43792,1.90144,1.82429,0.6165,0.48785,0.5262,0.21675,1.87459,1.86108,2.33085,0.00901,0.00901,0.00901
12,1162.99,1.43283,1.88209,1.81678,0.61478,0.50722,0.54376,0.23816,1.80709,1.80948,2.26406,0.008911,0.008911,0.008911
13,1258.77,1.3998,1.85014,1.79819,0.58452,0.50297,0.5207,0.23043,1.76036,1.80545,2.24538,0.008812,0.008812,0.008812
14,1354.32,1.40749,1.84418,1.79711,0.60054,0.54181,0.55883,0.24881,1.79704,1.73451,2.25402,0.008713,0.008713,0.008713
15,1450.09,1.38395,1.80235,1.77995,0.66741,0.55732,0.61295,0.2756,1.77702,1.66074,2.20443,0.008614,0.008614,0.008614
16,1545.84,1.37071,1.79082,1.77263,0.67633,0.5302,0.60266,0.26474,1.81052,1.70256,2.25745,0.008515,0.008515,0.008515
17,1641.44,1.35532,1.74851,1.76298,0.6321,0.53663,0.5789,0.2654,1.72534,1.72013,2.2034,0.008416,0.008416,0.008416
18,1736.83,1.35941,1.73579,1.76765,0.69967,0.57822,0.65249,0.29458,1.77948,1.58315,2.22137,0.008317,0.008317,0.008317
19,1832.63,1.35595,1.71843,1.7496,0.67828,0.58447,0.63525,0.29364,1.72175,1.56266,2.17728,0.008218,0.008218,0.008218
20,1928.18,1.33414,1.70574,1.74092,0.69181,0.5923,0.65046,0.30636,1.72301,1.51579,2.15145,0.008119,0.008119,0.008119
21,2024.04,1.32919,1.67668,1.72847,0.64519,0.62376,0.65436,0.29881,1.68804,1.57981,2.10476,0.00802,0.00802,0.00802
22,2119.54,1.31486,1.64643,1.72446,0.71849,0.60523,0.67918,0.3264,1.67527,1.50964,2.09821,0.007921,0.007921,0.007921
23,2215.18,1.32308,1.63544,1.72378,0.69121,0.59257,0.66393,0.32422,1.6484,1.48317,2.06979,0.007822,0.007822,0.007822
24,2310.71,1.30917,1.60725,1.71307,0.7325,0.6019,0.6795,0.33308,1.66357,1.5044,2.09885,0.007723,0.007723,0.007723
25,2406.31,1.30336,1.61116,1.70755,0.7253,0.62475,0.71013,0.34492,1.66103,1.40112,2.0816,0.007624,0.007624,0.007624
26,2501.89,1.2795,1.54269,1.6891,0.73986,0.62871,0.70682,0.35154,1.60974,1.44129,2.01978,0.007525,0.007525,0.007525
27,2597.81,1.28156,1.53172,1.68002,0.75934,0.64665,0.73561,0.36326,1.62142,1.37204,2.03001,0.007426,0.007426,0.007426
28,2693.55,1.27427,1.53114,1.67921,0.77441,0.63728,0.7241,0.37076,1.57635,1.34955,1.99438,0.007327,0.007327,0.007327
29,2789.41,1.26193,1.48939,1.66822,0.79646,0.63069,0.74371,0.39439,1.56851,1.32968,1.99854,0.007228,0.007228,0.007228
30,2885.3,1.25267,1.47377,1.66011,0.79679,0.67475,0.77053,0.40634,1.56128,1.2338,1.97297,0.007129,0.007129,0.007129
31,2981.12,1.24524,1.4582,1.651,0.78606,0.68574,0.77138,0.4082,1.5622,1.21256,1.96648,0.00703,0.00703,0.00703
32,3076.7,1.23818,1.43638,1.64078,0.80132,0.68885,0.78546,0.41754,1.54508,1.18985,1.93889,0.006931,0.006931,0.006931
33,3172.52,1.22848,1.40741,1.6337,0.80123,0.6896,0.78233,0.4211,1.50476,1.19288,1.94489,0.006832,0.006832,0.006832
34,3268.1,1.2235,1.39641,1.63293,0.78296,0.71287,0.79751,0.42612,1.50199,1.18803,1.90487,0.006733,0.006733,0.006733
35,3363.9,1.21033,1.38837,1.61994,0.79308,0.69254,0.78334,0.43093,1.49755,1.17246,1.90818,0.006634,0.006634,0.006634
36,3459.59,1.21813,1.37189,1.62292,0.81979,0.7302,0.81279,0.44264,1.51329,1.07762,1.90185,0.006535,0.006535,0.006535
37,3555.24,1.19454,1.3504,1.60528,0.80984,0.72737,0.81096,0.45133,1.46018,1.08377,1.8611,0.006436,0.006436,0.006436
38,3650.89,1.19734,1.30976,1.59798,0.81881,0.72475,0.82564,0.46235,1.43562,1.06625,1.82716,0.006337,0.006337,0.006337
39,3746.7,1.17676,1.30409,1.58986,0.82955,0.76615,0.84515,0.47982,1.42724,1.02312,1.82795,0.006238,0.006238,0.006238
40,3842.32,1.1815,1.28664,1.58794,0.83427,0.75507,0.85075,0.49128,1.39679,1.0179,1.80679,0.006139,0.006139,0.006139
41,3937.89,1.1588,1.26329,1.57464,0.84272,0.756,0.85598,0.5013,1.37149,1.01428,1.79241,0.00604,0.00604,0.00604
42,4033.48,1.1486,1.22976,1.56363,0.84473,0.76217,0.85392,0.51064,1.36398,0.98102,1.77195,0.005941,0.005941,0.005941
43,4129.31,1.15781,1.24442,1.56999,0.85975,0.7703,0.86105,0.51164,1.3414,0.94959,1.76519,0.005842,0.005842,0.005842
44,4224.93,1.1347,1.20594,1.54676,0.85712,0.77178,0.86958,0.52998,1.32013,0.93099,1.7313,0.005743,0.005743,0.005743
45,4320.61,1.13373,1.20487,1.54991,0.8521,0.79851,0.87624,0.54317,1.29293,0.89125,1.69612,0.005644,0.005644,0.005644
46,4416.08,1.11675,1.16644,1.53252,0.86268,0.79208,0.88102,0.54669,1.30533,0.88474,1.70609,0.005545,0.005545,0.005545
47,4511.67,1.11559,1.16472,1.52821,0.88338,0.79307,0.88869,0.5597,1.27177,0.86293,1.67098,0.005446,0.005446,0.005446
48,4607.32,1.10612,1.15161,1.51864,0.87305,0.81371,0.89847,0.57214,1.25653,0.83398,1.67042,0.005347,0.005347,0.005347
49,4703.09,1.09198,1.11819,1.50636,0.86919,0.81247,0.89335,0.57708,1.26276,0.83078,1.66268,0.005248,0.005248,0.005248
50,4798.83,1.08208,1.10315,1.50321,0.88457,0.82326,0.90976,0.58155,1.2304,0.79066,1.63528,0.005149,0.005149,0.005149
51,4894.43,1.08081,1.1041,1.4929,0.90263,0.81228,0.90973,0.58391,1.22765,0.78054,1.63242,0.00505,0.00505,0.00505
52,4989.99,1.07091,1.08939,1.48813,0.8851,0.82624,0.91377,0.59307,1.20547,0.76175,1.61523,0.004951,0.004951,0.004951
53,5085.38,1.061,1.07114,1.482,0.89435,0.83812,0.91423,0.60745,1.18292,0.75843,1.58371,0.004852,0.004852,0.004852
54,5180.95,1.04635,1.04498,1.473,0.90488,0.83614,0.92569,0.62264,1.13686,0.72291,1.54561,0.004753,0.004753,0.004753
55,5276.5,1.03279,1.02773,1.4627,0.89208,0.85297,0.92854,0.62901,1.11823,0.70148,1.53051,0.004654,0.004654,0.004654
56,5372.07,1.03647,1.03684,1.4643,0.90343,0.8475,0.92755,0.63637,1.11548,0.69784,1.5237,0.004555,0.004555,0.004555
57,5467.77,1.02054,1.01451,1.4502,0.90266,0.85396,0.93099,0.64164,1.09326,0.67772,1.50633,0.004456,0.004456,0.004456
58,5563.35,1.01408,0.99215,1.43811,0.90756,0.86028,0.93546,0.64466,1.09453,0.67398,1.5044,0.004357,0.004357,0.004357
59,5658.88,1.01419,0.98592,1.4356,0.90442,0.87133,0.94161,0.65503,1.07646,0.65506,1.48539,0.004258,0.004258,0.004258
60,5754.57,0.99738,0.98665,1.4328,0.91969,0.86742,0.94542,0.66835,1.05966,0.63714,1.46511,0.004159,0.004159,0.004159
61,5850.11,0.9903,0.96592,1.42242,0.91974,0.87376,0.94923,0.67431,1.03398,0.6198,1.45379,0.00406,0.00406,0.00406
62,5945.66,0.98317,0.94829,1.41909,0.92074,0.87986,0.95255,0.67549,1.01627,0.60321,1.43117,0.003961,0.003961,0.003961
63,6041.28,0.97835,0.94457,1.41466,0.91465,0.89752,0.9546,0.68094,1.01046,0.59846,1.42643,0.003862,0.003862,0.003862
64,6137.08,0.95814,0.91744,1.39371,0.93499,0.89006,0.9565,0.68801,1.00159,0.58629,1.4181,0.003763,0.003763,0.003763
65,6232.78,0.94851,0.90468,1.3919,0.91862,0.89968,0.95764,0.69461,0.99584,0.5751,1.40795,0.003664,0.003664,0.003664
66,6328.11,0.9496,0.88746,1.38765,0.92844,0.89554,0.95804,0.69943,0.99742,0.56813,1.41055,0.003565,0.003565,0.003565
67,6423.82,0.93829,0.87188,1.38337,0.92802,0.89357,0.95944,0.70375,0.98234,0.56254,1.38793,0.003466,0.003466,0.003466
68,6519.52,0.92418,0.86634,1.36394,0.93768,0.90149,0.96222,0.70484,0.96528,0.55011,1.37362,0.003367,0.003367,0.003367
69,6614.89,0.92432,0.85714,1.36731,0.9302,0.90381,0.96107,0.70549,0.9692,0.55127,1.37343,0.003268,0.003268,0.003268
70,6710.41,0.91162,0.84319,1.35847,0.9452,0.90495,0.96322,0.71142,0.94586,0.53569,1.35388,0.003169,0.003169,0.003169
71,6806.09,0.90158,0.83503,1.34837,0.94344,0.9166,0.96558,0.72163,0.92564,0.5233,1.33807,0.00307,0.00307,0.00307
72,6901.48,0.89938,0.83472,1.34725,0.94167,0.91906,0.96655,0.72461,0.9236,0.51807,1.33279,0.002971,0.002971,0.002971
73,6997.12,0.89395,0.81795,1.34237,0.94524,0.92297,0.96835,0.73004,0.91543,0.51235,1.32312,0.002872,0.002872,0.002872
74,7092.75,0.88433,0.81578,1.3381,0.94776,0.91608,0.96836,0.73393,0.90042,0.50089,1.30732,0.002773,0.002773,0.002773
