epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.0298,0.97059,1.96898,1.48381,0.31898,0.29221,0.21029,0.08631,2.39895,2.58207,3.57133,0.000554061,0.000554061,0.000554061
2,153.448,1.0854,1.48559,1.57924,0.35023,0.32421,0.24149,0.06604,2.57939,2.63846,3.31629,0.00109874,0.00109874,0.00109874
3,224.9,1.03232,1.39795,1.53101,0.38296,0.26985,0.2199,0.07194,2.54642,2.71198,3.26387,0.00163242,0.00163242,0.00163242
4,295.861,0.98742,1.30505,1.49782,0.41175,0.31804,0.30578,0.13168,2.1736,2.20697,2.67662,0.00161749,0.00161749,0.00161749
5,367.312,0.9193,1.23179,1.44777,0.55396,0.39399,0.41002,0.18316,2.02429,1.9279,2.52483,0.00160099,0.00160099,0.00160099
6,438.5,0.88662,1.13768,1.40904,0.4061,0.38671,0.33207,0.14873,1.91886,1.97439,2.45834,0.00158448,0.00158448,0.00158448
7,509.168,0.85653,1.10396,1.38883,0.55992,0.39591,0.44783,0.21084,1.99473,1.86711,2.48929,0.00156798,0.00156798,0.00156798
8,580.439,0.82664,1.05293,1.36825,0.60857,0.44641,0.50469,0.25813,1.7981,1.65632,2.39703,0.00155148,0.00155148,0.00155148
9,651.707,0.80579,1.01302,1.34836,0.62979,0.47109,0.53392,0.25473,1.89036,1.55684,2.4397,0.00153497,0.00153497,0.00153497
10,722.874,0.79971,0.99164,1.34127,0.59277,0.44256,0.49459,0.25123,1.86883,1.67256,2.34916,0.00151847,0.00151847,0.00151847
11,794.117,0.78329,0.96766,1.32404,0.59586,0.46145,0.50677,0.25414,1.77913,1.64155,2.32208,0.00150197,0.00150197,0.00150197
12,865.531,0.75644,0.92531,1.30969,0.60516,0.41519,0.47735,0.24216,1.82616,1.74809,2.3162,0.00148546,0.00148546,0.00148546
13,936.588,0.7486,0.8945,1.29507,0.58983,0.45846,0.51082,0.24289,1.88375,1.61899,2.39258,0.00146896,0.00146896,0.00146896
